customerid,age,tenure,usage_frequency,support_calls,payment_delay,total_spend,last_interaction,gender_Male,subscription_type_Premium,subscription_type_Standard,contract_length_Monthly,contract_length_Quarterly
17403,56,40,12,1,0,731,24,False,False,True,True,False
20462,38,30,4,4,9,179,6,False,False,True,False,False
63788,22,30,21,8,19,716,2,True,True,False,False,True
12219,45,12,26,10,10,1000,29,True,True,False,True,False
6832,59,37,13,6,22,727,6,False,False,True,False,True
29582,46,31,21,8,22,269,29,False,False,False,False,False
3755,65,46,10,7,12,759,29,False,True,False,True,False
7456,26,11,10,8,28,639,27,False,False,True,True,False
14201,24,48,3,2,13,459,13,False,False,False,True,False
54234,65,31,2,3,16,255,10,False,False,False,False,False
29161,45,4,17,5,16,889,11,True,False,False,False,True
40234,29,48,26,8,18,839,2,True,True,False,False,True
3612,35,57,12,4,21,370,14,False,True,False,True,False
42195,59,47,1,10,3,889,19,True,False,False,False,False
47016,49,44,16,7,21,844,15,True,False,True,False,True
63123,47,49,1,0,29,331,8,False,False,False,True,False
7999,62,14,21,4,5,615,29,True,True,False,False,True
40961,22,40,6,6,6,851,16,False,True,False,True,False
49750,56,39,26,6,16,730,19,True,False,False,False,True
45101,31,23,2,8,7,542,16,False,False,False,True,False
5668,49,15,27,2,19,845,16,True,False,False,False,True
8004,52,46,7,8,0,487,24,True,False,True,False,False
60883,31,45,8,10,19,892,16,True,False,True,False,False
8376,51,29,8,7,26,512,30,True,False,True,False,True
17769,30,7,14,10,23,267,30,False,True,False,False,False
57256,42,2,23,0,23,267,24,False,False,True,False,True
41958,61,41,14,5,11,238,18,False,False,False,False,False
18731,50,9,28,3,21,738,16,True,True,False,False,True
58278,28,31,16,9,23,607,14,True,False,True,False,True
19694,51,37,4,10,19,480,19,True,False,False,True,False
32456,21,22,13,0,20,704,16,True,True,False,True,False
55309,21,13,30,10,24,797,13,False,False,True,True,False
62484,26,35,16,8,26,914,14,False,True,False,True,False
21833,63,59,23,1,1,707,5,True,False,False,True,False
47606,63,44,24,7,30,102,27,True,True,False,False,False
17485,46,2,10,9,17,548,8,False,True,False,False,True
39381,63,8,19,7,20,442,8,True,True,False,False,False
3218,40,48,4,2,11,911,8,False,False,True,False,False
29785,30,10,12,7,16,920,2,False,False,False,False,False
40762,48,46,26,0,16,626,3,False,False,True,False,False
51176,37,56,19,6,16,163,21,False,True,False,False,False
34545,46,16,11,7,12,125,13,True,False,True,True,False
42522,48,27,22,4,27,163,23,True,True,False,False,True
49203,64,36,20,10,25,463,17,True,False,False,False,False
4126,55,45,21,7,6,521,27,False,False,True,False,True
24765,62,51,28,7,17,960,7,False,False,True,False,True
10115,23,34,27,0,27,640,28,True,False,True,True,False
49040,28,52,22,8,20,934,12,True,True,False,False,True
18390,25,43,21,2,20,141,19,True,False,False,False,False
39182,20,1,21,2,0,272,25,True,True,False,False,True
21418,41,11,1,5,30,353,18,True,False,True,False,True
39385,62,18,22,4,14,456,19,True,True,False,False,True
23816,49,12,13,5,18,840,21,False,False,False,True,False
16458,38,60,7,7,26,176,2,False,False,False,False,True
45960,65,46,30,6,25,177,3,False,False,True,False,True
41541,52,28,4,1,8,558,30,False,True,False,False,True
